Senator Name,State,Party,Year Elected,Term End,DC. Office Phone Number,Contact URL
Jim Risch,Idaho,Republican,2009,2027,(202) 224-2752,risch.senate.gov/public/index.cfm/Contact
Dick Durbin,Illinois,Democrat,1997,2027,(202) 224-2152,durbin.senate.gov
Tammy Duckworth,Illinois,Democrat,2017,2023,(202) 224-2854,duckworth.senate.gov
Todd Young,Indiana,Republican,2017,2029,(202) 224-5623,young.senate.gov/contact
Jim Banks,Indiana,Republican,2025,2031,(202) 224-4814,banks.senate.gov/contact
Chuck Grassley,Iowa,Republican,1981,2027,(202) 224-3744,grassley.senate.gov/contact
Joni Ernst,Iowa,Republican,2015,2027,(202) 224-3254,ernst.senate.gov/contact
Jerry Moran,Kansas,Republican,2011,2027,(202) 224-6521,moran.senate.gov
Roger Marshall,Kansas,Republican,2021,2027,(202) 224-4774,marshall.senate.gov
Mitch McConnell,Kentucky,Republican,1985,2027,(202) 224-2541,mcconnell.senate.gov
Rand Paul,Kentucky,Republican,2011,2029,(202) 224-4343,paul.senate.gov
Bill Cassidy,Louisiana,Republican,2009,2025,(202) 224-5824,cassidy.senate.gov
John Kennedy,Louisiana,Republican,2017,2023,(202) 224-4623,kennedy.senate.gov
Susan Collins,Maine,Republican,1997,2025,(202) 224-2523,collins.senate.gov/contact
Angus King,Maine,Independent,2013,2029,(202) 224-5344,king.senate.gov/contact
Chris Van Hollen,Maryland,Democrat,2017,2029,(202) 224-4654,vanhollen.senate.gov/contact
Angela Alsobrooks,Maryland,Democrat,2025,2031,(202) 224-4524,cardin.senate.gov/contact
Elizabeth Warren,Massachusetts,Democrat,2013,2031,(202) 224-4543,warren.senate.gov/contact
Ed Markey,Massachusetts,Democrat,2013,2027,(202) 224-2742,markey.senate.gov/contact
Gary Peters,Michigan,Democrat,2015,2027,(202) 224-6221,peters.senate.gov
Elissa Slotkin,Michigan,Democrat,2025,2031,(202) 224-4822,slotkin.senate.gov
Amy Klobuchar,Minnesota,Democrat,2007,2031,(202) 224-3244,klobuchar.senate.gov
Tina Smith,Minnesota,Democrat,2018,2031,(202) 224-5641,smith.senate.gov
Roger Wicker,Mississippi,Republican,2007,2031,(202) 224-6253,wicker.senate.gov
Cindy Hyde-Smith,Mississippi,Republican,2018,2027,(202) 224-5054,hydesmith.senate.gov
Josh Hawley,Missouri,Republican,2019,2025,(202) 224-6154,hawley.senate.gov
Eric Schmitt,Missouri,Republican,2023,2029,(202) 224-5721,schmitt.senate.gov
Steve Daines,Montana,Republican,2015,2027,(202) 224-2651,daines.senate.gov
Tim Sheehy,Montana,Republican,2025,2031,(202) 224-2644,sheehy.senate.gov
Deb Fischer,Nebraska,Republican,2013,2029,(202) 224-6551,fischer.senate.gov
Pete Ricketts,Nebraska,Republican,2023,2029,(202) 224-6551,ricketts.senate.gov
Catherine Cortez Masto,Nevada,Democrat,2017,2029,(202) 224-3542,cortezmasto.senate.gov
Jacky Rosen,Nevada,Democrat,2019,2025,(202) 224-6244,rosen.senate.gov
Jeanne Shaheen,New Hampshire,Democrat,2009,2027,(202) 224-2841,shaheen.senate.gov
Maggie Hassan,New Hampshire,Democrat,2017,2029,(202) 224-3324,hassan.senate.gov
Cory Booker,New Jersey,Democrat,2013,2027,(202) 224-3224,booker.senate.gov
Andy Kim,New Jersey,Democrat,2024,2031,(202) 224-4744,kim.senate.gov
Martin Heinrich,New Mexico,Democrat,2013,2031,(202) 224-5521,heinrich.senate.gov
Ben Ray Luján,New Mexico,Democrat,2021,2027,(202) 224-6621,lujan.senate.gov
Chuck Schumer,New York,Democrat,1999,2029,(202) 224-6542,schumer.senate.gov
Kirsten Gillibrand,New York,Democrat,2009,2031,(202) 224-4451,gillibrand.senate.gov
Thom Tillis,North Carolina,Republican,2015,2027,(202) 224-6342,tillis.senate.gov
Ted Budd,North Carolina,Republican,2023,2029,(202) 224-3154,budd.senate.gov
John Hoeven,North Dakota,Republican,2011,2029,(202) 224-2551,hoeven.senate.gov
Kevin Cramer,North Dakota,Republican,2019,2031,(202) 224-2043,cramer.senate.gov
Sherrod Brown,Ohio,Democrat,2007,2025,(202) 224-2315,brown.senate.gov
Jon Husted,Ohio,Republican,2025,2029,(202) 224-3353,husted.senate.gov
James Lankford,Oklahoma,Republican,2015,2029,(202) 224-5754,lankford.senate.gov
Markwayne Mullin,Oklahoma,Republican,2023,2029,(202) 224-4721,mullin.senate.gov
Ron Wyden,Oregon,Democrat,1996,2031,(202) 224-5244,wyden.senate.gov
Jeff Merkley,Oregon,Democrat,2009,2027,(202) 224-3753,merkley.senate.gov
John Fetterman,Pennsylvania,Democratic,2023,2029,(202) 224-4254,fetterman.senate.gov/contact
Dave McCormick,Pennsylvania,Republican,2025,2031,(202) 224-6324,mccormick.senate.gov/contact
Sheldon Whitehouse,Rhode Island,Democratic,2007,2025,(202) 224-2921,whitehouse.senate.gov/contact
Jack Reed,Rhode Island,Democratic,1997,2025,(202) 224-4642,reed.senate.gov/contact
Lindsey Graham,South Carolina,Republican,2003,2029,(202) 224-5972,graham.senate.gov
Tim Scott,South Carolina,Republican,2013,2029,(202) 224-6121,scott.senate.gov
John Thune,South Dakota,Republican,2005,2031,(202) 224-2321,thune.senate.gov
Mike Rounds,South Dakota,Republican,2015,2031,(202) 224-5842,rounds.senate.gov
Marsha Blackburn,Tennessee,Republican,2019,2031,(202) 224-3344,blackburn.senate.gov/contact
Bill Hagerty,Tennessee,Republican,2021,2027,(202) 224-4944,hagerty.senate.gov/contact
Ted Cruz,Texas,Republican,2013,2029,(202) 224-5922,cruz.senate.gov/contact
John Cornyn,Texas,Republican,2002,2029,(202) 224-2934,cornyn.senate.gov/contact-john-cornyn
Mike Lee,Utah,Republican,2011,2027,(202) 224-5444,lee.senate.gov
Mitt Romney,Utah,Republican,2019,2025,(202) 224-5251,romney.senate.gov
Bernie Sanders,Vermont,Independent,2007,2025,(202) 224-5141,sanders.senate.gov
Peter Welch,Vermont,Democratic,2023,2029,(202) 224-4242,welch.senate.gov
Mark Warner,Virginia,Democratic,2009,2027,(202) 224-2023,warner.senate.gov
Tim Kaine,Virginia,Democratic,2013,2031,(202) 224-4024,kaine.senate.gov
Patty Murray,Washington,Democratic,1993,2027,(202) 224-2621,murray.senate.gov
Maria Cantwell,Washington,Democratic,2001,2027,(202) 224-3441,cantwell.senate.gov
Shelley Moore Capito,West Virginia,Republican,2015,2027,(202) 224-6472,capito.senate.gov/contact/contact-landing
Joe Manchin,West Virginia,Independent,2010,2025,(202) 224-3954,manchin.senate.gov/contact-joe/office-locations
Tammy Baldwin,Wisconsin,Democrat,2013,2031,(202) 224-5653,baldwin.senate.gov/contact
Ron Johnson,Wisconsin,Republican,2011,2029,(202) 224-5323,ronjohnson.senate.gov/contact
John Barrasso,Wyoming,Republican,2007,2031,(202) 224-6441,barrasso.senate.gov/contact
Cynthia Lummis,Wyoming,Republican,2021,2027,(202) 224-3424,lummis.senate.gov/contact
